,vessel,datet,lat,lon,depth,depth_range,hours,mean_temp,std_temp
0,20,2020-08-02 04:37:30,42.5403,-70.3882,164.0,27.0,12.950,606.0,15.0
1,20,2020-08-02 12:50:00,42.5075,-70.2886,171.0,28.0,2.000,616.0,15.0
2,20,2020-08-02 15:45:00,42.5761,-70.3183,169.0,28.0,2.150,618.0,15.0
