Boat,Vessel#,matched_number,file_number,tele_num,fish_times,max_diff_depth,min_diff_depth,average_diff_depth,max_diff_temp,min_diff_temp,average_diff_temp,min_lat,max_lat,min_lon,max_lon
Mystic,8,83.0,109.0,96.0,0.0,1.0,-1.0,0.0,2404.73,888.04,1733.2794,41.34903666666667,42.365228333333334,-70.65412333333333,-70.08765
Ellen_Diane,2,0.0,0.0,355.0,1.0,,,,,,,42.74949,42.91087,-70.69449,-70.34035
Virginia_Marise,3,215.0,262.0,283.0,120.0,1.0,-1.0,0.014,1767.14,523.71,971.4454,40.19493833333333,41.30664166666667,-71.89528833333334,-71.05053166666667
Lisa_Ann_III,5,157.0,244.0,232.0,125.0,2.0,-3.0,0.0255,967.25,396.02,551.7157,42.426444999999994,42.88730833333334,-70.67047333333333,-70.25015499999999
Dyrsten,4,0.0,0.0,0.0,0.0,,,,,,,,,,
Mister_G,6,0.0,0.0,402.0,82.0,,,,,,,40.96985,41.38375,-71.65281,-71.19711
Illusion,9,0.0,0.0,382.0,15.0,,,,,,,36.39703,41.62905,-76.34258,-66.81217
Elizabeth_Katherine,7,0.0,0.0,21.0,89.0,,,,,,,39.968779999999995,41.38157,-71.80033,-71.26657
Sao_Paulo,11,341.0,405.0,531.0,29.0,37.0,-1.0,0.1789,1749.36,521.74,1163.3522,38.879545,42.274359999999994,-72.93334333333334,-67.407965
BantryBay,12,0.0,0.0,8.0,0.0,,,,,,,42.428,42.49852,-70.49463,-70.43854
Mary_K,16,6.0,21.0,43.0,2.0,1.0,0.0,0.3333,958.35,624.68,754.8767,41.278999999999996,42.403866666666666,-70.91252166666666,-67.34336666666667
Linda_Marie,17,271.0,423.0,407.0,83.0,1.0,-1.0,0.0185,1787.02,578.16,1289.9879,40.19295666666667,41.44349999999999,-71.85247833333332,-71.10233166666667
Wendy_Lee,18,0.0,0.0,21.0,109.0,,,,,,,42.929390000000005,43.03859,-70.73193,-70.40696
Resolve,14,17.0,17.0,26.0,1.0,0.0,0.0,0.0,1340.49,683.09,917.5659,42.13286,42.166136666666674,-70.30410666666667,-70.279265
Excalibur,19,14.0,15.0,18.0,36.0,0.0,0.0,0.0,1854.27,807.81,1240.5336,40.33080833333334,40.58783833333334,-70.83335333333333,-70.52131166666666
Nicole_Leigh,20,1.0,21.0,27.0,42.0,0.0,0.0,0.0,790.02,790.02,790.02,42.738290000000006,43.651354999999995,-70.25426166666666,-69.20032333333333
Tenacious_II,21,51.0,54.0,56.0,32.0,53.0,0.0,15.6078,1131.66,404.87,698.8147,41.51910833333333,43.27699166666666,-70.356945,-67.14583833333333
Lady_Claire,23,0.0,6.0,13.0,42.0,,,,,,,40.34164,40.50300333333333,-71.72184833333334,-71.60216666666666
Finlander II,24,5.0,7.0,6.0,79.0,0.0,0.0,0.0,437.54,383.15,415.998,42.644698333333324,42.75521833333334,-70.41785666666667,-70.27899833333332
Proud_Mary,25,0.0,0.0,18.0,92.0,,,,,,,40.23729,41.343379999999996,-71.72783000000001,-71.08195
Alicia_Ann,26,0.0,2.0,1.0,13.0,,,,,,,42.60766166666667,42.86036666666667,-70.66119666666667,-70.14471666666667
Tribiah_Lee,27,0.0,0.0,4.0,73.0,,,,,,,42.45789,42.61267,-70.6646,-70.65265
Dawn_T,28,1.0,8.0,8.0,7.0,0.0,0.0,0.0,1275.14,1275.14,1275.14,40.03544333333333,42.10336666666667,-70.12374333333334,-67.22527166666667
Lady_Rebecca,29,0.0,1.0,0.0,11.0,,,,,,,42.93566166666666,42.93566166666666,-70.42197833333333,-70.42197833333333
Finlander_I ,30,0.0,0.0,1.0,0.0,,,,,,,43.21224,43.21224,-71.22012,-71.22012
Fremantle_Doctor,31,13.0,20.0,17.0,20.0,0.0,0.0,0.0,1238.49,675.18,939.5831,42.636044999999996,42.64517833333333,-70.57034333333333,-70.55430833333334
Lina_Rose,32,0.0,0.0,22.0,0.0,,,,,,,43.62212,43.65527,-70.11438000000001,-70.08541
Dorcas_Anne,33,0.0,0.0,4.0,0.0,,,,,,,43.93812,44.10814,-69.20831,-69.10864000000001
Debbie Sue,34,0.0,0.0,17.0,9.0,,,,,,,5.55681,40.25242,-74.57624,-52.1139
Charger,35,0.0,108.0,4.0,0.0,,,,,,,41.494744999999995,42.23193500000001,-70.503475,-70.093145
Michelle_Jean_II,36,32.0,61.0,37.0,2.0,0.0,-1.0,-0.0312,1390.84,668.27,1058.8422,41.74751500000001,42.13089333333334,-70.503575,-70.21589833333334
Virginia_Marie,37,3.0,3.0,4.0,0.0,0.0,0.0,0.0,1178.1,887.03,994.2833,40.08316166666667,40.08620833333334,-68.709735,-68.70361
Tina Marie II,39,0.0,0.0,19.0,0.0,,,,,,,43.212070000000004,44.586729999999996,-71.2204,-67.18307
Devocean,40,0.0,0.0,0.0,0.0,,,,,,,,,,
Adie_Alden,38,0.0,0.0,1.0,0.0,,,,,,,43.21232,43.21232,-71.22029,-71.22029
Terri Ann,41,0.0,0.0,0.0,0.0,,,,,,,,,,
Total,,1210.0,1787.0,3084.0,,,,,,,,,,,
tele_total_num,,,,32.0,,,,,,,,,,,
