,vessel,datet,lat,lon,depth,depth_range,hours,mean_temp,std_temp
0,Vessel_11,2019-02-03 13:11:40,39.5403,-72.3365,166.0,22.0,0.65,12.81,0.15
1,Vessel_11,2019-02-07 07:50:00,39.0818,-72.7394,151.0,25.0,3.575,13.22,0.08
2,Vessel_11,2019-02-07 12:39:37,39.0407,-72.7897,154.0,23.0,0.425,12.54,0.13
3,Vessel_11,2019-02-07 17:53:03,38.9427,-72.8677,175.0,24.0,1.35,13.01,0.18
4,Vessel_11,2019-02-15 12:32:31,39.9178,-71.653,155.0,21.0,2.95,13.19,0.03
5,Vessel_11,2019-02-15 13:52:19,39.9129,-71.7823,138.0,4.0,0.525,13.08,0.02
6,Vessel_11,2019-02-20 17:06:13,39.9856,-71.7868,99.0,11.0,2.55,12.61,0.22
7,Vessel_11,2019-03-07 05:55:27,39.4024,-72.3515,147.0,21.0,3.6,13.33,0.09
8,Vessel_11,2019-03-15 18:05:45,42.0791,-69.7917,183.0,24.0,0.8,6.6,0.07
9,Vessel_11,2019-03-15 21:59:43,42.0219,-69.7616,169.0,10.0,2.75,6.81,0.06
10,Vessel_11,2019-03-17 05:24:39,42.2196,-69.7815,212.0,33.0,7.05,7.53,0.31
11,Vessel_11,2019-03-20 23:16:15,42.205,-69.7678,219.0,32.0,3.6,7.6,0.23
12,Vessel_11,2019-03-26 05:13:39,40.1576,-71.2442,114.0,5.0,2.95,12.89,0.07
13,Vessel_11,2019-03-26 06:02:13,40.117,-71.2852,47.0,4.0,0.1,8.3,0.7
14,Vessel_11,2019-03-26 15:14:38,39.9311,-71.4478,223.0,10.0,4.75,11.29,0.47
15,Vessel_11,2019-03-27 00:48:45,40.7426,-71.5134,64.0,2.0,0.7,6.6,0.05
16,Vessel_11,2019-03-28 00:29:22,40.2227,-71.1659,114.0,3.0,0.95,12.83,0.04
17,Vessel_11,2019-03-28 03:34:59,40.1602,-71.237,115.0,12.0,2.475,12.99,0.18
18,Vessel_11,2019-03-31 04:54:51,40.2965,-70.5838,108.0,6.0,1.65,10.11,0.22
19,Vessel_11,2019-04-23 11:21:42,40.0205,-71.8389,91.0,5.0,2.95,7.22,0.41
20,Vessel_11,2019-04-23 19:40:10,39.9292,-71.9233,106.0,15.0,1.675,9.28,0.92
21,Vessel_11,2019-04-30 07:50:17,40.3172,-70.7595,115.0,8.0,1.225,10.58,0.2
22,Vessel_11,2019-05-02 22:19:06,39.268,-72.8278,83.0,3.0,1.425,10.19,0.11
23,Vessel_11,2019-06-07 08:58:50,41.821000000000005,-67.6599,38.0,6.0,1.075,9.67,0.12
24,Vessel_11,2019-06-09 04:12:33,41.8159,-67.6757,37.0,6.0,3.825,10.02,0.04
25,Vessel_11,2019-06-15 03:40:58,41.8506,-67.4574,51.0,8.0,1.25,10.65,0.04
26,Vessel_11,2019-06-16 00:23:58,41.8711,-67.4831,50.0,8.0,1.425,10.28,0.04
27,Vessel_11,2019-06-16 03:09:31,41.8586,-67.4631,51.0,8.0,1.7,10.3,0.08
28,Vessel_11,2019-06-16 15:29:15,41.8671,-67.4772,51.0,8.0,1.925,10.37,0.03
29,Vessel_11,2019-06-18 05:14:34,41.8557,-67.4577,50.0,8.0,1.525,10.57,0.03
30,Vessel_11,2019-06-22 15:29:27,41.2339,-70.2538,21.0,3.0,1.85,13.76,0.51
31,Vessel_11,2019-07-01 00:52:56,41.1687,-70.1682,23.0,4.0,2.85,13.86,0.5
32,Vessel_11,2019-07-01 18:53:16,41.1554,-70.1722,23.0,1.0,0.45,14.1,0.08
33,Vessel_11,2019-07-02 14:41:58,41.1601,-70.1871,23.0,4.0,0.7,14.21,0.05
34,Vessel_11,2019-07-03 00:53:00,41.2094,-70.2705,25.0,3.0,2.075,13.46,0.27
35,Vessel_11,2019-07-09 21:04:32,41.1422,-70.2088,26.0,4.0,3.475,14.58,0.46
36,Vessel_11,2019-07-11 00:41:04,41.1237,-70.1884,25.0,4.0,4.675,14.5,0.93
37,Vessel_11,2019-07-11 19:03:07,41.2101,-70.3156,28.0,4.0,1.6,14.95,0.33
38,Vessel_11,2019-07-12 12:42:51,41.1977,-70.2766,27.0,4.0,3.65,14.79,0.5
39,Vessel_11,2019-07-12 16:33:06,41.1889,-70.2625,26.0,4.0,3.325,14.3,0.5
40,Vessel_11,2019-07-13 00:39:01,41.1279,-70.1954,25.0,4.0,3.025,14.8,0.38
41,Vessel_11,2019-07-13 11:02:26,41.1332,-70.211,26.0,3.0,1.9,14.97,0.31
42,Vessel_11,2019-07-13 13:04:54,41.1161,-70.2021,25.0,4.0,1.75,14.98,0.41
43,Vessel_11,2019-07-13 21:26:21,41.1303,-70.1808,26.0,2.0,1.1,15.39,0.08
44,Vessel_11,2019-07-14 00:43:37,41.1404,-70.2081,26.0,4.0,2.425,14.99,0.17
45,Vessel_11,2019-07-17 11:37:10,41.0024,-70.1334,24.0,4.0,2.0,16.2,0.63
46,Vessel_11,2019-07-19 11:29:44,41.1701,-70.286,28.0,4.0,2.05,13.12,0.38
47,Vessel_11,2019-07-20 11:06:10,40.9958,-70.1357,23.0,3.0,1.725,15.76,0.21
48,Vessel_11,2019-07-20 13:45:16,41.028,-70.1326,23.0,4.0,2.125,16.8,0.61
49,Vessel_11,2019-07-21 12:32:25,41.0078,-70.1515,24.0,3.0,3.225,15.38,0.83
50,Vessel_11,2019-08-17 01:52:37,41.5021,-68.4989,91.0,13.0,3.275,9.72,0.43
51,Vessel_14,2019-07-08 14:04:17,42.1632,-70.2865,24.0,4.0,144.55,7.32,0.39
52,Vessel_14,2019-07-31 14:31:34,42.1637,-70.2841,24.0,3.0,144.05,8.28,0.34
53,Vessel_14,2019-08-06 14:59:49,42.1641,-70.2837,25.0,3.0,142.425,8.61,0.39
54,Vessel_14,2019-08-22 15:04:01,42.1643,-70.2848,24.0,3.0,143.9,8.8,0.38
55,Vessel_14,2019-10-14 14:39:32,42.1656,-70.2829,25.0,4.0,145.1,13.54,0.53
56,Vessel_14,2019-10-24 13:54:09,42.1651,-70.2831,24.0,4.0,238.85,13.24,0.32
57,Vessel_14,2019-11-07 14:00:26,42.1329,-70.3041,64.0,4.0,216.4,11.6,0.61
58,Vessel_16,2019-03-19 19:44:00,42.1554,-69.6621,219.0,2.0,5.517,7.87,0.06
59,Vessel_16,2019-03-20 21:46:00,42.3767,-69.62,219.0,0.0,6.067,7.96,0.07
60,Vessel_16,2019-03-27 19:33:00,41.9617,-67.9643,174.0,23.0,3.133,6.31,0.31
61,Vessel_16,2019-04-11 00:15:00,41.5098,-70.0308,165.0,21.0,1.2329999999999999,5.82,0.06
62,Vessel_16,2019-04-25 11:28:00,41.8742,-67.4227,69.0,9.0,0.16699999999999998,6.67,0.0
63,Vessel_16,2019-04-26 07:33:00,42.1186,-67.5256,61.0,10.0,15.067,6.72,0.04
64,Vessel_16,2019-04-29 13:13:00,41.6322,-70.9125,174.0,16.0,4.2330000000000005,8.03,0.77
65,Vessel_16,2019-05-03 00:19:00,41.5357,-69.0551,153.0,19.0,1.067,5.41,0.04
66,Vessel_16,2019-05-04 12:16:00,41.6136,-68.681,62.0,9.0,0.733,7.34,0.0
67,Vessel_16,2019-05-05 10:42:00,41.5246,-69.17,157.0,26.0,2.017,7.31,0.73
68,Vessel_16,2019-05-13 10:32:00,41.3139,-69.0932,149.0,24.0,16.35,5.57,0.06
69,Vessel_16,2019-06-01 10:14:00,41.9938,-67.3464,50.0,8.0,10.617,9.27,0.11
70,Vessel_16,2019-06-02 06:02:00,41.8193,-67.414,51.0,8.0,8.267000000000001,9.32,0.12
71,Vessel_16,2019-06-02 23:29:00,41.8662,-67.4303,62.0,10.0,0.38299999999999995,9.32,0.01
72,Vessel_16,2019-06-04 16:01:00,41.2859,-69.1068,146.0,18.0,2.9330000000000003,5.26,0.15
73,Vessel_17,2019-04-02 23:03:44,41.0596,-71.5772,41.0,6.0,1.925,6.7,0.07
74,Vessel_17,2019-04-07 06:50:33,40.2623,-71.1362,98.0,2.0,0.875,12.48,0.1
75,Vessel_17,2019-04-17 22:10:27,41.0776,-71.623,38.0,6.0,1.8,5.97,0.3
76,Vessel_17,2019-04-17 23:29:39,41.0816,-71.6347,39.0,3.0,0.75,5.77,0.03
77,Vessel_17,2019-04-28 21:00:10,41.3104,-71.5794,34.0,0.0,0.025,7.24,0.0
78,Vessel_17,2019-05-04 12:42:05,41.3015,-71.6233,34.0,5.0,2.025,7.33,0.12
79,Vessel_17,2019-05-07 11:04:55,41.3875,-71.4498,25.0,4.0,0.95,9.39,0.12
80,Vessel_17,2019-05-24 14:41:44,41.3523,-71.593,22.0,3.0,0.5,9.56,0.23
81,Vessel_17,2019-05-29 11:38:13,41.3165,-71.6751,23.0,4.0,1.925,12.0,1.2
82,Vessel_17,2019-06-02 17:50:11,41.3109,-71.7433,23.0,4.0,0.1,12.41,0.1
83,Vessel_17,2019-06-03 13:41:47,41.3118,-71.7485,21.0,1.0,0.05,11.5,0.01
84,Vessel_17,2019-06-05 15:03:36,41.3137,-71.7569,19.0,3.0,1.875,11.88,0.09
85,Vessel_17,2019-06-09 12:56:13,41.31100000000001,-71.749,20.0,3.0,1.1,13.07,0.12
86,Vessel_17,2019-06-12 11:46:45,41.3903,-71.4476,24.0,4.0,1.95,13.47,0.21
87,Vessel_17,2019-06-18 12:04:29,41.3164,-71.7285,20.0,2.0,0.725,14.61,0.06
88,Vessel_17,2019-06-18 14:33:28,41.3386,-71.5979,21.0,3.0,0.65,14.58,0.16
89,Vessel_17,2019-06-19 12:00:56,41.3158,-71.6757,25.0,4.0,0.15,14.63,0.02
90,Vessel_17,2019-06-19 14:19:58,41.3091,-71.7669,19.0,3.0,1.9,14.75,0.2
91,Vessel_17,2019-06-19 16:20:43,41.3406,-71.594,24.0,2.0,0.15,14.33,0.16
92,Vessel_17,2019-06-22 12:52:58,41.3152,-71.6763,25.0,4.0,0.375,14.58,0.08
93,Vessel_17,2019-06-26 18:20:44,41.3165,-71.6674,27.0,4.0,0.2,13.71,0.07
94,Vessel_17,2019-06-29 20:03:45,41.3933,-71.4463,24.0,4.0,1.5,14.44,0.2
95,Vessel_17,2019-07-01 22:03:24,41.3119,-71.7281,28.0,4.0,0.175,14.66,0.18
96,Vessel_17,2019-07-06 13:20:43,41.3041,-71.7398,29.0,4.0,0.275,15.52,0.03
97,Vessel_17,2019-07-06 15:45:53,41.3818,-71.5128,25.0,1.0,0.925,15.52,0.24
98,Vessel_17,2019-07-11 13:39:27,41.302,-71.79,23.0,1.0,0.125,16.55,0.09
99,Vessel_17,2019-07-13 12:12:01,41.3059,-71.7549,26.0,4.0,2.45,15.57,0.27
100,Vessel_17,2019-07-15 13:05:49,41.3107,-71.7196,27.0,4.0,2.2,15.33,0.23
101,Vessel_17,2019-07-16 11:53:24,41.3153,-71.6766,26.0,4.0,0.325,15.13,0.02
102,Vessel_17,2019-07-18 13:16:16,41.3096,-71.7382,24.0,4.0,3.125,15.26,0.78
103,Vessel_17,2019-07-18 15:49:14,41.3325,-71.5944,24.0,4.0,1.2,15.04,0.27
104,Vessel_17,2019-07-19 18:11:59,41.3278,-71.5752,29.0,5.0,0.2,15.5,0.08
105,Vessel_17,2019-07-20 12:05:44,41.3152,-71.6825,25.0,4.0,0.475,16.0,0.54
106,Vessel_17,2019-07-23 17:27:34,41.3103,-71.7385,28.0,0.0,0.025,14.51,0.0
107,Vessel_17,2019-07-26 16:46:37,41.2986,-71.8189,26.0,4.0,1.625,16.04,0.3
108,Vessel_17,2019-07-29 12:23:08,41.3077,-71.751,26.0,4.0,2.375,16.03,0.53
109,Vessel_17,2019-07-31 13:12:08,41.3096,-71.7525,23.0,4.0,2.35,15.14,0.8
110,Vessel_17,2019-08-04 18:29:35,41.3139,-71.6691,27.0,0.0,0.025,18.41,0.0
111,Vessel_17,2019-08-05 12:50:23,41.3912,-71.446,26.0,4.0,1.15,16.14,1.13
112,Vessel_17,2019-08-07 12:37:28,41.3126,-71.7534,20.0,3.0,1.1,19.14,0.13
113,Vessel_17,2019-08-07 15:29:37,41.3121,-71.7391,26.0,4.0,1.275,18.54,0.32
114,Vessel_17,2019-08-07 18:08:11,41.3067,-71.767,26.0,4.0,1.225,17.93,0.78
115,Vessel_17,2019-08-07 20:39:37,41.3077,-71.7506,24.0,4.0,2.05,18.12,0.56
116,Vessel_17,2019-08-16 20:56:00,41.2936,-71.6149,34.0,5.0,0.475,14.16,0.16
117,Vessel_17,2019-08-18 11:31:12,41.2311,-71.6957,38.0,4.0,0.15,14.67,0.1
118,Vessel_17,2019-08-21 12:23:55,41.3779,-71.4552,24.0,4.0,2.225,17.39,0.48
119,Vessel_17,2019-08-22 13:32:44,41.3899,-71.4471,25.0,4.0,3.05,16.59,0.5
120,Vessel_17,2019-08-23 13:04:05,41.3812,-71.4552,25.0,4.0,1.975,15.73,1.15
121,Vessel_17,2019-08-25 11:49:49,41.2719,-71.5442,44.0,7.0,0.875,13.11,0.11
122,Vessel_17,2019-08-29 17:35:17,41.2766,-71.4824,41.0,6.0,1.55,13.25,0.5
123,Vessel_17,2019-08-31 11:53:53,41.2796,-71.4059,36.0,5.0,0.875,13.18,0.15
124,Vessel_17,2019-09-03 12:13:02,41.2473,-71.4562,39.0,6.0,1.55,14.66,0.36
125,Vessel_17,2019-09-04 12:41:08,41.2344,-71.4605,38.0,3.0,1.4,14.25,0.73
126,Vessel_17,2019-09-04 15:17:55,41.2983,-71.4764,38.0,6.0,1.925,16.72,1.08
127,Vessel_17,2019-09-12 12:48:06,41.2364,-71.6039,42.0,5.0,0.675,16.52,0.57
128,Vessel_17,2019-09-12 16:57:41,41.345,-71.6217,14.0,1.0,0.45,19.07,0.07
129,Vessel_17,2019-09-13 13:37:46,41.2419,-71.6618,36.0,5.0,1.475,16.6,0.21
130,Vessel_17,2019-09-14 12:22:35,41.2274,-71.697,35.0,3.0,1.65,17.11,0.1
131,Vessel_17,2019-09-26 11:48:16,41.2796,-71.4178,38.0,6.0,0.95,12.59,0.33
132,Vessel_17,2019-09-26 13:20:57,41.2852,-71.4077,37.0,4.0,0.675,12.48,0.22
133,Vessel_17,2019-09-26 16:24:15,41.2547,-71.5187,40.0,6.0,2.05,13.1,0.54
134,Vessel_17,2019-09-26 18:26:45,41.2836,-71.54899999999999,44.0,6.0,0.95,14.91,1.09
135,Vessel_17,2019-09-27 12:14:03,41.2682,-71.5356,42.0,7.0,1.3,15.36,1.07
136,Vessel_17,2019-09-27 14:53:20,41.2616,-71.4957,40.0,5.0,1.9,12.98,0.69
137,Vessel_17,2019-09-29 11:57:06,41.2937,-71.73,35.0,3.0,0.425,17.04,0.11
138,Vessel_17,2019-09-29 13:03:46,41.2817,-71.8097,42.0,3.0,0.275,17.07,0.03
139,Vessel_17,2019-09-29 15:23:08,41.2811,-71.8255,42.0,7.0,1.45,17.04,0.07
140,Vessel_17,2019-09-29 17:01:32,41.275,-71.7796,40.0,6.0,1.05,17.04,0.1
141,Vessel_17,2019-09-30 13:00:28,41.2821,-71.8171,42.0,4.0,0.275,17.23,0.02
142,Vessel_17,2019-09-30 16:11:07,41.2803,-71.6531,38.0,4.0,1.45,17.28,0.08
143,Vessel_17,2019-09-30 17:14:31,41.2831,-71.5626,42.0,6.0,0.425,15.18,0.21
144,Vessel_17,2019-09-30 18:50:26,41.2333,-71.658,33.0,2.0,0.675,16.98,0.03
145,Vessel_17,2019-10-01 12:20:47,41.2795,-71.6004,42.0,6.0,0.725,17.05,0.15
146,Vessel_17,2019-10-01 14:04:04,41.2502,-71.6281,44.0,7.0,0.175,17.11,0.02
147,Vessel_17,2019-10-01 17:16:13,41.24,-71.6614,35.0,3.0,1.05,17.85,0.4
148,Vessel_17,2019-10-03 14:39:01,41.232,-71.7249,34.0,4.0,1.7,17.07,0.49
149,Vessel_17,2019-10-03 16:50:19,41.2648,-71.6373,39.0,6.0,1.65,17.03,0.06
150,Vessel_17,2019-10-04 12:17:45,41.286,-71.5517,43.0,4.0,0.65,16.66,0.68
151,Vessel_17,2019-10-04 13:49:24,41.2705,-71.4911,43.0,3.0,1.025,14.41,0.45
152,Vessel_17,2019-10-04 15:51:01,41.2785,-71.5079,43.0,6.0,1.025,14.3,0.15
153,Vessel_17,2019-10-05 12:14:30,41.2795,-71.5155,43.0,3.0,0.275,15.97,0.23
154,Vessel_17,2019-10-05 13:52:44,41.2705,-71.4533,40.0,5.0,1.175,15.32,0.07
155,Vessel_17,2019-10-05 15:31:16,41.2659,-71.4765,42.0,4.0,1.15,15.27,0.06
156,Vessel_17,2019-10-05 17:04:13,41.2897,-71.5253,43.0,6.0,0.55,15.36,0.24
157,Vessel_17,2019-10-13 11:52:54,41.2676,-71.5094,44.0,3.0,0.825,16.75,0.01
158,Vessel_17,2019-10-13 13:39:21,41.2724,-71.4448,41.0,5.0,1.275,16.68,0.05
159,Vessel_17,2019-10-13 17:14:15,41.2689,-71.5274,43.0,6.0,2.475,16.69,0.04
160,Vessel_17,2019-10-14 12:58:01,41.2933,-71.7338,34.0,4.0,0.5,16.77,0.01
161,Vessel_17,2019-10-14 14:34:10,41.2812,-71.8141,42.0,5.0,0.65,16.68,0.0
162,Vessel_17,2019-10-14 16:41:39,41.2722,-71.7583,38.0,6.0,1.1,16.67,0.04
163,Vessel_17,2019-10-14 19:44:45,41.3091,-71.5781,36.0,6.0,2.4,16.7,0.11
164,Vessel_17,2019-10-15 12:27:37,41.2823,-71.40899999999999,37.0,4.0,0.675,16.32,0.05
165,Vessel_17,2019-10-15 14:54:03,41.2367,-71.4637,38.0,1.0,0.15,16.29,0.07
166,Vessel_17,2019-10-15 17:36:02,41.2761,-71.5251,43.0,7.0,1.775,16.53,0.02
167,Vessel_17,2019-10-16 12:13:09,41.2748,-71.5117,44.0,4.0,0.775,16.52,0.01
168,Vessel_17,2019-10-16 14:09:51,41.2718,-71.4526,41.0,5.0,1.425,16.36,0.04
169,Vessel_17,2019-10-16 16:43:42,41.2848,-71.5116,42.0,6.0,2.1,16.37,0.06
170,Vessel_17,2019-10-19 15:14:45,41.2732,-71.4809,42.0,6.0,1.25,15.93,0.09
171,Vessel_17,2019-10-19 17:34:58,41.3042,-71.5419,37.0,6.0,1.75,15.98,0.12
172,Vessel_17,2019-10-19 19:08:16,41.3124,-71.5696,32.0,5.0,0.225,16.1,0.0
173,Vessel_17,2019-10-20 12:11:53,41.3403,-71.4118,32.0,3.0,1.25,15.88,0.07
174,Vessel_17,2019-10-20 16:04:54,41.2758,-71.4319,39.0,5.0,0.95,16.0,0.12
175,Vessel_17,2019-10-20 17:57:48,41.3648,-71.4192,33.0,4.0,1.275,15.85,0.06
176,Vessel_17,2019-10-25 16:35:51,41.2802,-71.7984,42.0,5.0,0.425,15.65,0.01
177,Vessel_17,2019-10-25 19:37:01,41.2785,-71.7412,39.0,7.0,2.0,15.65,0.04
178,Vessel_17,2019-10-26 12:54:53,41.2833,-71.6754,37.0,6.0,1.825,15.67,0.03
179,Vessel_17,2019-10-26 14:59:22,41.2725,-71.7928,39.0,6.0,1.625,15.7,0.03
180,Vessel_17,2019-10-26 18:52:28,41.2932,-71.6331,39.0,6.0,1.2,15.66,0.02
181,Vessel_17,2019-10-28 12:28:14,41.3073,-71.5937,33.0,5.0,1.2,15.34,0.18
182,Vessel_17,2019-10-28 15:11:39,41.2809,-71.8068,42.0,6.0,0.675,15.72,0.0
